Course,Class,Qtd,S1,S2,S3,S4,S5,S6
ES70J,S01,2,2M4,2M5,,,,
ES70J,S02,2,2N3,2N4,,,,
ES70J,S03,2,5N3,5N4,,,,
CSH42,S73,3,2N1,2T5,2T6,,,
CSG20,S71,3,4M3,4M4,4M5,,,
CSG20,S73,4,3T1,3T2,3T3,5T4,,
CSW20,S73,4,2T2,2T3,6T4,6T5,,
CSH41,S73,3,3T3,3T4,3T5,,,
CSB41,S73,4,4T2,4T3,6T2,6T3,,
MA70C,S21,4,4T3,4T4,6T5,6T6,,
MA70C,S22,4,4T3,4T4,6T5,6T6,,
MA70C,S23,4,3M1,3M2,5M1,5M2,,
MA70C,S25,4,3M1,3M2,5M1,5M2,,
MA70C,S41,4,4T3,4T4,6T5,6T6,,
MA70C,S43,4,4T3,4T4,6T5,6T6,,
MA70C,S55,4,3M1,3M2,5M1,5M2,,
MA70C,S56,4,3M1,3M2,5M1,5M2,,
FCH7HC,S01,3,5T4,5T5,5T6,,,
FCH7HC,S02,3,3N1,3N2,3N3,,,
QB70E,S21,2,6N1,6T6,,,,
QB70E,S23,2,5M2,5M3,,,,
QB70E,S25,2,5T2,5T3,,,,
QB70E,S71,2,5M4,5M5,,,,
CSA41,S71,4,2N1,2N2,5N1,5N2,,
GE73A,S73,3,2N1,2N2,2T6,,,
CSM45,S71,4,5T1,5T2,5T3,5T4,,
CSV40,S71,4,2T5,2T6,5T5,5T6,,
CSR31,S71,2,4T2,4T3,,,,
CSR31,S72,2,4T4,4T5,,,,
CE70B,S15,2,3T5,3T6,,,,
CE70B,S31,2,4M5,4M6,,,,
CE70B,S55,2,5M3,5M4,,,,
CE70B,S61,2,2T5,2T6,,,,
CE70B,S65,2,2T5,2T6,,,,
CE70B,S81,2,3T4,3T5,,,,
CE70B,S85,2,4N4,4N5,,,,
CSM41,S73,4,4N1,4T6,5N1,5T6,,
CSM30,S73,3,6T4,6T5,6T6,,,
FCH7XF,S01,3,6M3,6M4,6M5,,,
CSE30,S71,4,2T2,2T3,3T4,3T5,,
CSE30,S73,4,2N1,2N2,2N3,2N4,,
CSE40,S73,3,2T2,2T3,2T4,,,
CSF20,S01,3,3T1,3T2,3T3,,,
CSF20,S71,3,2M1,2M2,2M3,,,
CSF20,S73,3,2T4,2T5,2T6,,,
CSF30,S71,3,5T1,5T2,5T3,,,
CSF30,S73,3,6T1,6T2,6T3,,,
ES70P,S71,3,2T2,2T3,2T4,,,
ES70P,S73,3,3T1,3T2,3T3,,,
ES70H,S01,2,3T3,3T4,,,,
ES70H,S15,2,6M2,6M3,,,,
ES70H,S31,2,2M2,2M3,,,,
ES70H,S41,2,6N3,6N4,,,,
ES70H,S43,2,3T3,3T4,,,,
ES70H,S51,2,4N2,4N3,,,,
ES70H,S93,2,5T3,5T4,,,,
