Code,Course
S01,ES70J
S02,ES70J
S03,ES70J
S73,CSH42
S71,CSG20
S73,CSG20
S73,CSW20
S73,CSH41
S73,CSB41
S21,MA70C
S22,MA70C
S23,MA70C
S25,MA70C
S41,MA70C
S43,MA70C
S55,MA70C
S56,MA70C
S01,FCH7HC
S02,FCH7HC
S21,QB70E
S23,QB70E
S25,QB70E
S71,QB70E
S71,CSA41
S73,GE73A
S71,CSM45
S71,CSV40
S71,CSR31
S72,CSR31
S15,CE70B
S31,CE70B
S55,CE70B
S61,CE70B
S65,CE70B
S81,CE70B
S85,CE70B
S73,CSM41
S73,CSM30
S01,FCH7XF
S71,CSE30
S73,CSE30
S73,CSE40
S01,CSF20
S71,CSF20
S73,CSF20
S71,CSF30
S73,CSF30
S71,ES70P
S73,ES70P
S01,ES70H
S15,ES70H
S31,ES70H
S41,ES70H
S43,ES70H
S51,ES70H
S93,ES70H
S01,CSF13
S02,CSF13
S73,CSF13
S74,CSF13
S73,CSG10
S01,MA71B
S11,MA71B
S15,MA71B
S21,MA71B
S23,MA71B
S25,MA71B
S55,MA71B
S61,MA71B
S73,MA71B
S81,MA71B
S73,CSG30
S73,CSG42
S73,ES70S
S01,FCH7HB
S02,FCH7HB
S73,CSR43
S71,CSB30
S73,CSB30
S73,CSB53
S73,CSH30
S73,CSD20
S71,CSW42
S71,CSD21
S73,CSD21
S73,CSE42
S01,FCH7GA
S02,FCH7GA
S03,FCH7GA
S73,CSI53
S73,CSR41
S01,MA70H
S21,MA70H
S23,MA70H
S25,MA70H
S41,MA70H
S43,MA70H
S51,MA70H
S53,MA70H
S55,MA70H
S61,MA70H
S71,MA70H
S73,MA70H
S73,CSV30
S73,CSM43
S71,CSA30
S73,CSA30
S73,CSX10
S74,CSX10
N31,ES70B
S15,ES70B
S21,ES70B
S23,ES70B
S25,ES70B
S31,ES70B
S51,ES70B
S73,ES70B
S73,CSB51
S71,CSR30
S73,CSR30
S71,CSR44
S71,CSS30
S73,CSS30
S71,CSI30
S73,CSI30
S73,CSE44
S71,CSW40
S72,CSW40
S71,CSO30
S73,CSO30
N11,ELSC01
S01,ELSC01
S02,ELSC01
S01,ELSP01
S63,ES70G
S71,ES70G
S73,ES70G
S01,CSE20
S02,CSE20
S71,CSE20
S73,CSE20
S01,FCH7SC
S73,CSG41
S01,FCH7XG
S71,CSA31
S01,FCH7FC
S73,CSA42
S73,GE71A
S73,GE72A
S71,CSW55
S63,MA70E
S73,MA70E
S73,CSX40
S73,CSX41
S73,CSX20
S73,CSX30
