Name,Code,Workload,University
FUNDAMENTOS DE PROGRAMAÇÃO 1,CSF13,90,UTFPR
PROLEGÔMENOS AO COMPUTAR,CSX10,60,UTFPR
ENADE INGRESSANTE,ENADE I,0,UTFPR
TÓPICOS MATEMÁTICOS,MA70E,90,UTFPR
INTRODUÇÃO À LÓGICA PARA A COMPUTAÇÃO,CSD20,45,UTFPR
TÉCNICAS DE PROGRAMAÇÃO,CSE20,60,UTFPR
ESTRUTURA DE DADOS 1,CSF20,45,UTFPR
FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,CSG10,60,UTFPR
ATIVIDADES COMPLEMENTARES,CSX50,180,UTFPR
GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,MA71B,90,UTFPR
TEORIA DA COMPUTAÇÃO,CSA31,45,UTFPR
MATEMÁTICA DISCRETA,CSD21,45,UTFPR
ENGENHARIA DE SOFTWARE 2,CSE40,45,UTFPR
ESTRUTURA DE DADOS 2,CSF30,45,UTFPR
GESTÃO DA INFORMAÇÃO EM SISTEMAS DE INFORMAÇÃO,CSG30,45,UTFPR
INTRODUÇÃO À INTERAÇÃO HUMANO-COMPUTADOR,CSH30,45,UTFPR
SISTEMAS INTELIGENTES,CSI30,45,UTFPR
DESENVOLVIMENTO INTEGRADO DE SISTEMAS,CSM30,45,UTFPR
PROCESSAMENTO DIGITAL DE IMAGENS,CSV30,60,UTFPR
ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,CSW20,60,UTFPR
ELETRICIDADE,CSW31,45,UTFPR
SOCIOLOGIA,ES70G,45,UTFPR
HISTÓRIA DA TÉCNICA E DA TECNOLOGIA,ES70S,45,UTFPR
TEORIAS DA ADMINISTRAÇÃO,GE71A,60,UTFPR
COMPORTAMENTO HUMANO NAS ORGANIZAÇÕES,GE73A,45,UTFPR
PROBABILIDADE E ESTATÍSTICA,MA70H,60,UTFPR
PROJETO E ANÁLISE DE ALGORITMOS,CSA30,45,UTFPR
ALGORITMOS E COMPLEXIDADE,CSA40,60,UTFPR
COMPLEXIDADE COMPUTACIONAL,CSA41,60,UTFPR
TEORIA DOS GRAFOS,CSA42,60,UTFPR
COMPUTAÇÃO QUÂNTICA,CSA43,60,UTFPR
